Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4131838,260.46417,129.14285714285714,16040.136,0.2609238,0.00029982722,0.19994242,0.0004997178,0.6428571428571429,0.6428571428571429,1.0
10000,1.451276,30.197664,154.67567567567568,408.2465,0.29384753,0.00029951727,0.1998391,0.00049921154,0.8108108108108109,0.8108108108108109,1.0
15000,1.5218962,1.4942482,77.18461538461538,3.4391599,0.2645368,0.00029925318,0.19975108,0.0004987802,0.06060606060606061,0.06060606060606061,1.0
20000,1.5515077,-0.8464309,73.25714285714285,16.461784,0.26942414,0.0002989459,0.19964863,0.0004982783,0.07142857142857142,0.07142857142857142,1.0
25000,1.595637,-0.004317597,71.14285714285714,4.336052,0.27000615,0.00029864945,0.19954981,0.000497794,0.0,0.0,1.0
30000,1.641734,0.55841607,67.08219178082192,2.799545,0.26402134,0.00029834989,0.19944996,0.00049730483,0.0,0.0,1.0
35000,1.6620654,0.104766436,67.08450704225352,3.7969365,0.26063693,0.0002980505,0.19935016,0.00049681583,0.0,0.0,1.0
40000,1.6957698,0.30960903,67.08,6.149506,0.26854756,0.00029775203,0.19925067,0.0004963283,0.0,0.0,1.0
45000,1.7961704,0.46111244,67.08333333333333,9.003196,0.2548578,0.0002974525,0.19915085,0.00049583905,0.0,0.0,1.0
50000,1.8511022,-0.910185,68.05633802816901,5.723275,0.2925968,0.0002971531,0.19905101,0.00049535,0.0,0.0,1.0
55000,1.8926595,0.22737484,73.078125,3.3863194,0.27580938,0.0002968509,0.19895028,0.00049485633,0.0,0.0,1.0
60000,1.9308423,0.70307404,70.95890410958904,4.7786922,0.2587578,0.00029654743,0.19884913,0.00049436075,0.0,0.0,1.0
65000,1.9421123,0.26941785,67.07142857142857,5.1194987,0.26874432,0.00029624646,0.19874883,0.00049386924,0.0,0.0,1.0
70000,1.9578439,0.19939004,72.02898550724638,3.8389392,0.25779083,0.0002959541,0.19865134,0.00049339165,0.043478260869565216,0.043478260869565216,1.0
75000,1.9860271,1.0249029,71.61194029850746,2.8408022,0.28549767,0.00029565018,0.19855006,0.0004928953,0.015625,0.015625,1.0
80000,2.0200796,0.01287447,76.98529411764706,4.762283,0.27589956,0.0002953525,0.19845082,0.000492409,0.0,0.0,1.0
85000,2.0387318,-0.026570568,67.30985915492958,1.8672919,0.29166406,0.0002950435,0.19834784,0.0004919044,0.0,0.0,1.0
90000,2.0727625,-1.0074979,67.48571428571428,3.5165536,0.2757723,0.0002947495,0.1982498,0.0004914241,0.0,0.0,1.0
95000,2.1101782,-0.34003177,67.08219178082192,3.933917,0.2794448,0.00029445198,0.19815066,0.00049093826,0.0,0.0,1.0
100000,2.167707,-0.37085533,67.09333333333333,3.088406,0.26485413,0.00029414843,0.19804949,0.00049044244,0.0,0.0,1.0
105000,2.2337976,0.24401622,67.08333333333333,1.3897452,0.26673472,0.0002938491,0.19794966,0.0004899535,0.0,0.0,1.0
110000,2.2636733,0.48430982,67.08219178082192,5.0865445,0.27908006,0.00029355037,0.19785014,0.00048946554,0.0,0.0,1.0
115000,2.2654493,-0.4057649,67.08333333333333,3.0383415,0.25951415,0.0002932512,0.1977504,0.000488977,0.0,0.0,1.0
120000,2.27059,0.95058006,67.08108108108108,3.4930089,0.24927917,0.00029295325,0.19765106,0.0004884902,0.0,0.0,1.0
125000,2.2676558,3.9446423,67.08333333333333,11.323218,0.25766963,0.00029264286,0.19754763,0.00048798328,0.0,0.0,1.0
130000,2.2788117,0.8367857,67.07042253521126,2.9675286,0.2519487,0.00029234987,0.19744995,0.00048750467,0.0,0.0,1.0
135000,2.2979953,-0.1320852,67.08333333333333,2.8475096,0.25964472,0.0002920515,0.19735049,0.0004870174,0.0,0.0,1.0
140000,2.3271368,-0.5747315,67.08108108108108,3.1957746,0.25246376,0.00029175048,0.19725014,0.00048652565,0.0,0.0,1.0
145000,2.344943,0.09257219,67.08219178082192,2.6676235,0.27738225,0.00029144672,0.19714889,0.00048602957,0.0,0.0,1.0
150000,2.3877392,-0.20132166,67.08450704225352,1.2603621,0.26652586,0.0002911477,0.19704922,0.0004855413,0.0,0.0,1.0
155000,2.4267435,-0.09148828,67.08,2.407805,0.27415937,0.00029084846,0.19694951,0.00048505247,0.0,0.0,1.0
160000,2.4727242,-0.8963746,67.08571428571429,4.879014,0.26050732,0.00029054834,0.19684942,0.00048456222,0.0,0.0,1.0
165000,2.4962792,0.11701714,67.08333333333333,3.2295012,0.24636973,0.00029025046,0.19675016,0.00048407572,0.0,0.0,1.0
170000,2.5224156,-2.2148983,67.08450704225352,7.535698,0.2391918,0.00028995165,0.19665056,0.0004835878,0.0,0.0,1.0
175000,2.5257487,-2.0052571,67.71428571428571,5.556002,0.26673073,0.00028965232,0.19655079,0.0004830987,0.0,0.0,1.0
180000,2.5548172,-0.298026,71.1304347826087,3.5513444,0.26820603,0.0002893496,0.19644989,0.00048260434,0.057971014492753624,0.057971014492753624,1.0
185000,2.644281,-1.0866613,68.68656716417911,3.2512882,0.29531854,0.00028904024,0.19634674,0.0004820991,0.06153846153846154,0.06153846153846154,1.0
190000,2.7146134,1.7307029,77.95454545454545,5.764879,0.25530818,0.00028874693,0.19624895,0.00048161994,0.05714285714285714,0.05714285714285714,1.0
195000,2.759385,-0.9885328,69.85135135135135,3.441564,0.28345224,0.00028844748,0.19614916,0.00048113088,0.028169014084507043,0.028169014084507043,1.0
200000,2.7588615,0.23502329,69.8529411764706,1.4152335,0.2709629,0.00028814282,0.19604759,0.00048063326,0.04285714285714286,0.04285714285714286,1.0
205000,2.7732244,0.36836755,69.5,1.7971222,0.26042613,0.00028785446,0.19595148,0.00048016227,0.05555555555555555,0.05555555555555555,1.0
210000,2.7991323,-0.69166595,69.15492957746478,3.4385715,0.26004833,0.00028754663,0.19584887,0.00047965941,0.056338028169014086,0.056338028169014086,1.0
215000,2.8197327,0.08126682,69.84285714285714,1.2911834,0.27949142,0.00028725583,0.19575192,0.00047918447,0.05555555555555555,0.05555555555555555,1.0
220000,2.8165503,-0.06355242,71.61194029850746,1.569829,0.278658,0.00028694357,0.19564787,0.0004786744,0.058823529411764705,0.058823529411764705,1.0
225000,2.8774347,-0.34684148,69.41666666666667,1.7867012,0.26374176,0.00028665646,0.19555219,0.00047820553,0.056338028169014086,0.056338028169014086,1.0
230000,2.9164975,-1.3965645,69.08695652173913,2.9096377,0.28067395,0.00028635442,0.19545148,0.00047771222,0.05714285714285714,0.05714285714285714,1.0
235000,2.9291854,0.51351976,68.71830985915493,1.8485938,0.27642864,0.00028605413,0.19535138,0.00047722168,0.05405405405405406,0.05405405405405406,1.0
240000,2.9381192,0.25046197,68.9,2.1109185,0.298318,0.00028575238,0.19525078,0.0004767289,0.05555555555555555,0.05555555555555555,1.0
245000,2.930043,0.2495835,68.74285714285715,1.8669875,0.26735532,0.00028546076,0.19515358,0.00047625255,0.07042253521126761,0.07042253521126761,1.0
250000,2.9328384,0.13292544,68.27777777777777,0.49594042,0.24638619,0.00028515147,0.1950505,0.00047574742,0.0547945205479452,0.0547945205479452,1.0
255000,2.9462018,0.27398068,68.98571428571428,1.1601769,0.25532562,0.0002848541,0.19495136,0.00047526165,0.05714285714285714,0.05714285714285714,1.0
260000,2.9723003,-0.24376997,68.54166666666667,1.2301352,0.28270125,0.00028454902,0.19484966,0.0004747634,0.0684931506849315,0.0684931506849315,1.0
265000,2.9985,-0.6059062,68.41428571428571,1.7707015,0.2697641,0.00028423665,0.19474554,0.00047425317,0.05714285714285714,0.05714285714285714,1.0
270000,3.0032115,0.35593507,68.95522388059702,1.2820226,0.2807694,0.00028395027,0.19465008,0.0004737854,0.07042253521126761,0.07042253521126761,1.0
275000,3.0162444,-0.754404,68.34666666666666,1.8063123,0.28089994,0.00028365586,0.19455193,0.00047330456,0.05405405405405406,0.05405405405405406,1.0
280000,3.0516806,-0.25677985,68.48571428571428,0.6961925,0.28429726,0.00028334654,0.19444883,0.00047279932,0.05714285714285714,0.05714285714285714,1.0
285000,3.095258,-9.207896,69.18571428571428,28.084503,0.2846481,0.00028306313,0.19435436,0.00047233637,0.05555555555555555,0.05555555555555555,1.0
290000,3.1362705,-0.65648204,74.421875,1.4887465,0.30898073,0.00028274665,0.19424887,0.00047181948,0.06060606060606061,0.06060606060606061,1.0
295000,3.1679916,1.8610004,96.83018867924528,8.531961,0.30365515,0.0002824477,0.19414924,0.00047133124,0.8461538461538461,0.8461538461538461,1.0
300000,3.2211618,0.24340978,83.85714285714286,0.6305964,0.27094877,0.0002821589,0.19405296,0.0004708595,0.7714285714285715,0.7714285714285715,1.0
305000,3.2566757,0.5613488,110.08196721311475,6.5406613,0.30000147,0.00028184892,0.19394962,0.0004703532,0.9047619047619048,0.9047619047619048,1.0
310000,3.2900977,2.4942875,79.47540983606558,8.564577,0.2669473,0.00028154821,0.19384941,0.00046986205,0.9016393442622951,0.9016393442622951,1.0
315000,3.3266315,0.62163657,78.98148148148148,0.22432564,0.31867856,0.00028125,0.19375,0.00046937497,0.8518518518518519,0.8518518518518519,1.0
320000,3.3353121,-0.8306123,82.98461538461538,4.2405825,0.24674052,0.00028095138,0.19365047,0.00046888724,0.07692307692307693,0.07692307692307693,1.0
325000,3.3405735,-0.14528178,68.67692307692307,0.078765884,0.25898433,0.00028064672,0.1935489,0.0004683896,0.06153846153846154,0.06153846153846154,1.0
330000,3.3582885,0.47953704,68.46969696969697,5.004886,0.2549662,0.00028034806,0.19344935,0.00046790182,0.07575757575757576,0.07575757575757576,1.0
335000,3.37046,0.6813141,115.11320754716981,4.513704,0.2918438,0.00028004157,0.19334719,0.00046740123,0.6226415094339622,0.6226415094339622,1.0
340000,3.376376,0.63011277,86.94339622641509,0.04397854,0.26086015,0.00027975792,0.19325265,0.00046693793,0.8867924528301887,0.8867924528301887,1.0
345000,3.385332,0.45654634,94.58181818181818,1.7760296,0.27094236,0.0002794473,0.19314907,0.0004664305,0.8909090909090909,0.8909090909090909,1.0
350000,3.38967,0.021087447,84.73333333333333,0.9149074,0.28891075,0.0002791569,0.1930523,0.00046595623,0.13114754098360656,0.13114754098360656,1.0
355000,3.40049,0.36664107,68.85714285714286,0.8216558,0.29704583,0.00027885436,0.19295146,0.000465462,0.07042253521126761,0.07042253521126761,1.0
360000,3.4158337,0.17135742,68.375,0.5634572,0.26862583,0.00027855637,0.19285215,0.00046497543,0.05555555555555555,0.05555555555555555,1.0
365000,3.4189382,0.48462102,69.42857142857143,1.441653,0.27423677,0.00027825608,0.19275203,0.0004644849,0.07042253521126761,0.07042253521126761,1.0
370000,3.4189377,-0.11544362,69.02816901408451,0.34787723,0.3330459,0.00027794638,0.19264878,0.00046397906,0.06944444444444445,0.06944444444444445,1.0
