Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
180000,2.0106874,-1.2349762,68.08450704225352,2.4152818,0.2611458,0.00028935852,0.19645283,0.00048261887,0.07042253521126761,0.07042253521126761,1.0
185000,2.0111055,-4.2063627,68.04054054054055,6.618944,0.2708896,0.00028906873,0.19635624,0.00048214552,0.06578947368421052,0.06578947368421052,1.0
190000,2.0187802,-3.1328826,68.07042253521126,2.465493,0.26658732,0.00028876695,0.19625565,0.00048165268,0.0684931506849315,0.0684931506849315,1.0
195000,2.0196745,-0.9084507,68.09859154929578,1.0968683,0.25618908,0.00028845505,0.19615169,0.00048114324,0.0684931506849315,0.0684931506849315,1.0
200000,2.0373435,-0.07573103,68.36986301369863,0.502302,0.2871696,0.00028814594,0.19604866,0.00048063832,0.06944444444444445,0.06944444444444445,1.0
205000,2.0862753,0.18093699,68.15714285714286,1.5907112,0.2752911,0.00028784337,0.1959478,0.00048014417,0.07042253521126761,0.07042253521126761,1.0
210000,2.1289477,0.24838826,68.83098591549296,0.88427305,0.26865274,0.00028755225,0.19585074,0.0004796686,0.07042253521126761,0.07042253521126761,1.0
215000,2.1386015,-0.8229068,68.17142857142858,2.850622,0.2793912,0.00028725516,0.19575171,0.00047918342,0.05714285714285714,0.05714285714285714,1.0
220000,2.161264,-7.1324577,68.37974683544304,11.604621,0.2786925,0.00028695332,0.1956511,0.0004786904,0.06578947368421052,0.06578947368421052,1.0
225000,2.159339,-1.0757529,69.02857142857142,1.649602,0.2822588,0.00028665067,0.19555022,0.00047819602,0.056338028169014086,0.056338028169014086,1.0
230000,2.144894,0.92331725,68.58571428571429,0.9627043,0.2685387,0.0002863616,0.19545387,0.00047772395,0.05555555555555555,0.05555555555555555,1.0
235000,2.1412072,0.9016208,69.0,0.44526514,0.2701808,0.0002860484,0.19534945,0.00047721234,0.06944444444444445,0.06944444444444445,1.0
240000,2.1434083,-1.2454311,68.73239436619718,0.9814343,0.28779498,0.00028574522,0.19524841,0.00047671716,0.056338028169014086,0.056338028169014086,1.0
245000,2.1838746,-1.0144376,68.69014084507042,0.9897981,0.26746047,0.00028544664,0.1951489,0.00047622947,0.07042253521126761,0.07042253521126761,1.0
250000,2.2094734,-1.1798518,68.52112676056338,1.0983913,0.28836215,0.00028514978,0.1950499,0.0004757446,0.07042253521126761,0.07042253521126761,1.0
255000,2.259188,-0.4653136,68.13513513513513,0.7640754,0.2741837,0.00028484873,0.19494955,0.00047525277,0.05714285714285714,0.05714285714285714,1.0
260000,2.2800417,0.075662546,68.12676056338029,0.22227158,0.24738468,0.00028454687,0.19484895,0.0004747599,0.06578947368421052,0.06578947368421052,1.0
265000,2.2870095,1.8080546,68.09859154929578,1.4623892,0.26201785,0.00028425283,0.19475095,0.00047427963,0.06944444444444445,0.06944444444444445,1.0
270000,2.295686,1.5552756,68.07042253521126,1.0325228,0.28695977,0.0002839586,0.19465289,0.00047379904,0.0684931506849315,0.0684931506849315,1.0
275000,2.3023822,0.8357484,68.05633802816901,0.64815575,0.27241874,0.0002836561,0.19455203,0.00047330494,0.0821917808219178,0.0821917808219178,1.0
280000,2.3142715,2.172032,68.06944444444444,0.82009554,0.24374232,0.0002833463,0.19444877,0.00047279894,0.0684931506849315,0.0684931506849315,1.0
285000,2.3284965,-1.063802,68.01408450704226,3.521899,0.26796427,0.00028304383,0.19434792,0.00047230488,0.07042253521126761,0.07042253521126761,1.0
290000,2.3380666,-3.1842728,68.16666666666667,2.3868,0.2903587,0.00028274948,0.19424982,0.0004718241,0.07042253521126761,0.07042253521126761,1.0
295000,2.3529165,-1.1383106,68.01333333333334,0.40945724,0.27200273,0.0002824539,0.19415131,0.0004713413,0.07142857142857142,0.07142857142857142,1.0
300000,2.3930154,-1.7248826,68.15492957746478,0.9619255,0.2735126,0.00028215826,0.19405276,0.00047085845,0.06493506493506493,0.06493506493506493,1.0
305000,2.4516304,0.30652755,68.81159420289855,0.39310008,0.24929437,0.0002818537,0.19395122,0.00047036092,0.05555555555555555,0.05555555555555555,1.0
310000,2.4872522,2.3692667,68.29577464788733,1.6170675,0.2656521,0.00028155206,0.19385067,0.00046986828,0.06944444444444445,0.06944444444444445,1.0
315000,2.5235555,1.1082458,68.4225352112676,0.2884315,0.26717103,0.00028125057,0.19375019,0.00046937593,0.06944444444444445,0.06944444444444445,1.0
320000,2.5424883,0.18325399,68.77142857142857,0.33579236,0.2759255,0.00028094792,0.19364932,0.0004688816,0.07142857142857142,0.07142857142857142,1.0
325000,2.551077,0.41332278,68.35,0.1689347,0.2595902,0.0002806482,0.1935494,0.00046839198,0.07692307692307693,0.07692307692307693,1.0
330000,2.579188,-0.44591638,80.84848484848484,0.49741846,0.2834722,0.0002803523,0.19345076,0.00046790877,0.07575757575757576,0.07575757575757576,1.0
335000,2.6081502,0.13623156,68.3108108108108,1.2522652,0.25931004,0.00028004954,0.19334985,0.00046741424,0.07042253521126761,0.07042253521126761,1.0
340000,2.6540651,-1.6589279,68.28169014084507,1.5197029,0.3039378,0.0002797588,0.19325292,0.00046693935,0.06666666666666667,0.06666666666666667,1.0
345000,2.6926475,-1.641813,68.1830985915493,0.52938485,0.27879664,0.00027945958,0.19315317,0.00046645055,0.0684931506849315,0.0684931506849315,1.0
350000,2.7158308,0.75421715,68.25352112676056,0.6719294,0.25856435,0.00027915565,0.19305189,0.0004659542,0.0684931506849315,0.0684931506849315,1.0
355000,2.7360606,1.0751599,68.08450704225352,0.50692797,0.26285338,0.00027884287,0.19294764,0.00046544336,0.06944444444444445,0.06944444444444445,1.0
360000,2.7699888,0.7828382,68.34246575342466,0.7267217,0.26503575,0.00027853993,0.19284664,0.00046494856,0.0821917808219178,0.0821917808219178,1.0
365000,2.7934415,0.71540713,68.14084507042253,0.12316552,0.25564933,0.00027824112,0.19274704,0.00046446043,0.07042253521126761,0.07042253521126761,1.0
370000,2.8147345,0.24776246,68.08571428571429,0.16253307,0.2601409,0.00027794938,0.19264978,0.00046398386,0.07142857142857142,0.07142857142857142,1.0
375000,2.8455515,-0.13123205,68.0,0.18084782,0.27442852,0.00027765016,0.19255005,0.0004634952,0.07042253521126761,0.07042253521126761,1.0
380000,2.893273,-0.5232833,68.1,0.4163933,0.25795704,0.00027734687,0.19244897,0.0004629999,0.06578947368421052,0.06578947368421052,1.0
385000,2.9351401,0.5125581,68.07042253521126,1.0211602,0.28452936,0.0002770562,0.19235209,0.00046252517,0.06756756756756757,0.06756756756756757,1.0
390000,2.95088,1.8672782,68.28169014084507,1.0631418,0.25293663,0.0002767539,0.19225131,0.00046203134,0.06944444444444445,0.06944444444444445,1.0
395000,2.9758375,0.038811456,68.28169014084507,0.07115192,0.2941607,0.00027644413,0.19214804,0.00046152543,0.056338028169014086,0.056338028169014086,1.0
400000,2.9868748,-0.3872259,68.33802816901408,0.46226406,0.28579876,0.00027613933,0.19204643,0.00046102752,0.06944444444444445,0.06944444444444445,1.0
405000,3.0027032,0.11958137,68.53521126760563,0.15188867,0.2664715,0.0002758469,0.19194895,0.00046054978,0.07042253521126761,0.07042253521126761,1.0
410000,3.0152698,0.5465249,68.60606060606061,0.27796355,0.258859,0.00027555318,0.19185106,0.00046007015,0.07042253521126761,0.07042253521126761,1.0
415000,3.013272,-0.038114615,68.0945945945946,0.28212732,0.25053352,0.00027525032,0.19175011,0.0004595756,0.05714285714285714,0.05714285714285714,1.0
420000,3.0443246,-0.23579183,68.69014084507042,0.24449001,0.26446235,0.0002749488,0.19164962,0.00045908304,0.06578947368421052,0.06578947368421052,1.0
425000,3.0743937,0.04220333,68.21126760563381,0.14348437,0.26621062,0.00027465413,0.19155137,0.00045860166,0.06944444444444445,0.06944444444444445,1.0
430000,3.055569,0.011870148,68.05633802816901,0.39996514,0.28617662,0.00027434627,0.19144875,0.00045809883,0.06756756756756757,0.06756756756756757,1.0
435000,3.0736208,-0.042804275,68.11267605633803,0.012717442,0.31272477,0.00027404295,0.19134764,0.00045760343,0.06944444444444445,0.06944444444444445,1.0
440000,3.1045787,-0.18519929,68.12676056338029,0.1473613,0.27672076,0.00027374068,0.19124688,0.00045710974,0.07042253521126761,0.07042253521126761,1.0
445000,3.1625679,-0.89423907,68.10606060606061,0.7424107,0.28453204,0.00027344978,0.19114995,0.00045663465,0.07042253521126761,0.07042253521126761,1.0
450000,3.2101955,-1.404798,68.0126582278481,0.33388993,0.27473554,0.00027314722,0.19104907,0.00045614046,0.07042253521126761,0.07042253521126761,1.0
455000,3.2512696,-0.20395045,68.18571428571428,0.15677822,0.2725934,0.0002728448,0.19094828,0.00045564646,0.06578947368421052,0.06578947368421052,1.0
460000,3.2823179,-1.4536824,68.11428571428571,0.5486596,0.27112314,0.00027255097,0.19085032,0.00045516653,0.06944444444444445,0.06944444444444445,1.0
465000,3.2839723,-0.20066777,68.95588235294117,0.19024411,0.27648538,0.00027224878,0.19074959,0.00045467305,0.07042253521126761,0.07042253521126761,1.0
470000,3.2926059,-0.039073233,75.89393939393939,0.07379685,0.26966944,0.0002719478,0.19064926,0.00045418134,0.09090909090909091,0.09090909090909091,1.0
475000,3.3164773,-1.0083401,72.1029411764706,0.55233234,0.29004753,0.0002716396,0.19054654,0.00045367802,0.10294117647058823,0.10294117647058823,1.0
480000,3.335783,0.061253596,70.51470588235294,0.0154109225,0.27270326,0.0002713383,0.19044611,0.00045318584,0.11764705882352941,0.11764705882352941,1.0
485000,3.3494854,0.011374717,70.6,0.07520263,0.27865848,0.00027104205,0.19034734,0.00045270208,0.14285714285714285,0.14285714285714285,1.0
490000,3.3514159,2.2829583,70.390625,1.6052197,0.26081416,0.00027075544,0.19025183,0.00045223383,0.13043478260869565,0.13043478260869565,1.0
495000,3.3573651,0.846219,69.91780821917808,0.15937681,0.28435764,0.00027045273,0.1901509,0.00045173932,0.12162162162162163,0.12162162162162163,1.0
500000,3.3631542,-1.6298727,69.56521739130434,0.63709867,0.27661347,0.0002701514,0.19005045,0.0004512472,0.12857142857142856,0.12857142857142856,1.0
505000,3.3727756,0.43826982,69.98571428571428,0.11042523,0.26213685,0.00026985217,0.18995075,0.00045075858,0.1267605633802817,0.1267605633802817,1.0
510000,3.3695643,0.50790024,69.28571428571429,0.09069414,0.2968665,0.0002695554,0.18985179,0.00045027374,0.1527777777777778,0.1527777777777778,1.0
515000,3.3799796,0.44709462,69.35714285714286,0.09448473,0.27399287,0.00026924093,0.18974699,0.00044976018,0.12857142857142856,0.12857142857142856,1.0
520000,3.4097085,-0.20180479,69.15942028985508,0.18263054,0.27245006,0.00026894297,0.18964764,0.00044927342,0.14285714285714285,0.14285714285714285,1.0
