Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
190000,2.4241114,0.75538015,80.16129032258064,1.1512932,0.29738855,0.00028874763,0.1962492,0.00048162104,1.0,1.0,1.0
195000,2.4540854,0.6644109,80.1639344262295,1.2923121,0.3097656,0.0002884436,0.19614786,0.0004811245,1.0,1.0,1.0
200000,2.5006409,0.8540061,80.15873015873017,1.2149963,0.3058394,0.0002881539,0.1960513,0.00048065133,1.0,1.0,1.0
205000,2.544743,1.9960467,80.16666666666667,2.1560986,0.35761204,0.00028784596,0.19594868,0.00048014842,1.0,1.0,1.0
210000,2.5411153,0.94195324,80.16666666666667,0.9797283,0.3491468,0.00028754855,0.1958495,0.0004796626,1.0,1.0,1.0
215000,2.5419276,1.0956281,80.1639344262295,0.7912469,0.2762637,0.00028725158,0.19575052,0.0004791776,1.0,1.0,1.0
220000,2.5519996,0.95320773,80.1639344262295,2.8572698,0.2891579,0.00028694974,0.1956499,0.00047868455,1.0,1.0,1.0
225000,2.57069,0.5345617,80.16129032258064,0.646738,0.32135746,0.0002866452,0.19554839,0.0004781871,1.0,1.0,1.0
230000,2.601389,-0.34564197,80.16666666666667,4.714282,0.33949345,0.00028635314,0.19545105,0.0004777102,1.0,1.0,1.0
235000,2.6187997,0.71528053,80.16129032258064,0.26957363,0.31042424,0.00028604796,0.19534934,0.0004772116,1.0,1.0,1.0
240000,2.6281796,1.6473666,80.16129032258064,3.0998037,0.3028178,0.00028575445,0.19525148,0.00047673215,1.0,1.0,1.0
245000,2.64923,0.80214477,80.19672131147541,1.0897536,0.30459192,0.00028544987,0.19514994,0.00047623465,1.0,1.0,1.0
250000,2.6697114,0.94246334,80.1639344262295,0.2207138,0.31149656,0.0002851481,0.19504936,0.00047574186,1.0,1.0,1.0
255000,2.6991084,0.85033053,80.1639344262295,0.6735094,0.30102125,0.00028485144,0.19495048,0.00047525731,1.0,1.0,1.0
260000,2.7351475,0.4891552,80.1639344262295,0.6444166,0.28430444,0.00028455266,0.19485089,0.00047476933,1.0,1.0,1.0
265000,2.7814302,0.62839645,80.13333333333334,0.64193213,0.2930888,0.00028424815,0.19474939,0.00047427192,1.0,1.0,1.0
270000,2.857186,0.6637183,80.1311475409836,0.95905685,0.29133296,0.00028395333,0.19465111,0.00047379048,1.0,1.0,1.0
275000,2.9087875,0.8530745,80.19047619047619,0.9529096,0.29338264,0.00028364794,0.1945493,0.00047329158,1.0,1.0,1.0
