Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
3230000,3.2786849,0.74060565,84.06896551724138,0.9745172467725031,0.9745172467725031,0.00068712374,0.2304814,0.00020313576,0.1677119,0.00034178828,1.0
3235000,3.2775617,0.735572,81.8,0.9251500169436137,0.9251500169436137,0.025089199,0.23937134,0.00020302429,0.16767475,0.00034160624,1.0
3240000,3.2724395,0.7426208,82.51666666666667,0.9749500205119451,0.9749500205119451,0.00015211714,0.23562975,0.00020287407,0.16762468,0.00034136095,1.0
3245000,3.2636888,0.742995,82.21666666666667,0.9750333547592163,0.9750333547592163,0.00012919863,0.2430348,0.00020272398,0.16757466,0.00034111575,1.0
3250000,3.2518451,0.7378586,82.23333333333333,0.9750333547592163,0.9750333547592163,0.00011198395,0.23428091,0.00020257421,0.16752473,0.00034087113,1.0
3255000,3.2465272,0.73136514,80.04838709677419,0.8305161547276282,0.8305161547276282,0.07130141,0.23595214,0.00020242455,0.16747484,0.00034062663,1.0
3260000,3.2468996,0.7417469,82.33333333333333,0.9750000198682149,0.9750000198682149,0.00017382565,0.24420004,0.00020227488,0.16742495,0.00034038225,1.0
3265000,3.2454717,0.73710996,82.73333333333333,0.9748833497365316,0.9748833497365316,9.8710974e-05,0.23881352,0.00020212444,0.1673748,0.00034013652,1.0
3270000,3.2435868,0.70557696,79.33870967741936,0.7823548624592442,0.7823548624592442,0.095844805,0.23928814,0.00020197434,0.16732477,0.00033989132,1.0
3275000,3.2432137,0.7329779,81.40983606557377,0.9252833545207977,0.9252833545207977,0.026050944,0.24351382,0.00020182603,0.16727532,0.00033964906,1.0
3280000,3.2435715,0.7299211,79.79032258064517,0.8305967969279135,0.8305967969279135,0.068938985,0.23822005,0.00020167479,0.16722491,0.00033940203,1.0
3285000,3.2404,0.7272766,81.81666666666666,0.9259672331028297,0.9259672331028297,0.02044423,0.23772784,0.00020152358,0.1671745,0.00033915509,1.0
3290000,3.2406983,0.7125749,85.3103448275862,0.8706724242917423,0.8706724242917423,0.027955594,0.2447747,0.00020137332,0.16712442,0.00033890962,1.0
3295000,3.23514,0.710968,77.74603174603175,0.6906508160015893,0.6906508160015893,0.13503401,0.24972124,0.00020122514,0.16707504,0.00033866765,1.0
3300000,3.234546,0.72782856,81.37704918032787,0.8769344423638016,0.8769344423638016,0.044227276,0.24137048,0.00020107519,0.16702504,0.00033842272,1.0
3305000,3.2325063,0.7414143,82.21666666666667,0.9750333537658056,0.9750333537658056,6.822392e-05,0.23216704,0.00020092481,0.16697492,0.0003381771,1.0
3310000,3.2289598,0.74298584,82.01666666666667,0.9751000225543975,0.9751000225543975,4.1329895e-05,0.23952027,0.00020077526,0.16692507,0.00033793287,1.0
3315000,3.2233875,0.739068,82.0327868852459,0.9750833551088969,0.9750833551088969,3.4377656e-05,0.24649742,0.00020062586,0.16687527,0.00033768878,1.0
3320000,3.219017,0.74013877,80.44262295081967,0.8787903458841385,0.8787903458841385,0.049221877,0.23417428,0.0002004746,0.16682485,0.00033744177,1.0
3325000,3.216375,0.7363866,81.24590163934427,0.9253333568572998,0.9253333568572998,0.025088856,0.2423863,0.00020032372,0.16677454,0.00033719526,1.0
3330000,3.213893,0.74283236,82.0,0.9750983832312412,0.9750983832312412,0.00013890272,0.2390633,0.00020017436,0.16672477,0.00033695134,1.0
3335000,3.2088962,0.71313804,77.484375,0.6907619294666109,0.6907619294666109,0.14286244,0.24812369,0.00020002532,0.16667508,0.00033670792,1.0
3340000,3.209142,0.718133,80.44262295081967,0.8787742170595354,0.8787742170595354,0.05271268,0.24094458,0.00019987539,0.16662511,0.0003364631,1.0
3345000,3.2107668,0.7308197,80.47540983606558,0.8771967448172022,0.8771967448172022,0.049098276,0.24359795,0.00019972553,0.16657516,0.00033621825,1.0
3350000,3.2076888,0.7405711,82.0,0.9751000225543975,0.9751000225543975,7.428791e-05,0.25037012,0.00019957614,0.16652536,0.00033597424,1.0
3355000,3.2065678,0.74610287,82.0,0.9750983832312412,0.9750983832312412,6.84815e-05,0.25605017,0.00019942487,0.16647494,0.0003357272,1.0
3360000,3.208313,0.5528587,76.16923076923077,0.6018906515091658,0.6018906515091658,0.1953319,0.23861066,0.00019927454,0.16642484,0.00033548166,1.0
3365000,3.2141733,0.6942888,77.53968253968254,0.6951562762260437,0.6951562762260437,0.1394022,0.2389632,0.00019912617,0.16637537,0.0003352393,1.0
3370000,3.215071,0.69580525,78.61904761904762,0.6903968529095725,0.6903968529095725,0.13535465,0.2385365,0.0001989766,0.16632552,0.00033499504,1.0
3375000,3.2135828,0.6631823,77.92063492063492,0.5477619246831016,0.5477619246831016,0.21650861,0.24908075,0.00019882555,0.16627516,0.00033474827,1.0
3380000,3.21565,0.71625686,81.0327868852459,0.8278524826784603,0.8278524826784603,0.06495068,0.248653,0.00019867577,0.16622524,0.00033450365,1.0
3385000,3.2174253,0.67988646,80.56451612903226,0.6368225928275816,0.6368225928275816,0.092883624,0.24893403,0.00019852669,0.16617553,0.00033426014,1.0
3390000,3.2231536,0.72661376,82.05,0.9250833531220753,0.9250833531220753,0.00522981,0.23501524,0.00019837469,0.16612488,0.00033401191,1.0
3395000,3.2205615,0.74203396,82.65,0.9748983231641478,0.9748983231641478,0.00010677881,0.23504329,0.00019822453,0.16607483,0.00033376663,1.0
