Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4344786,57.931107,83.71428571428571,3069.1428,0.30365056,0.00029982947,0.19994314,0.00049972144,0.7818181818181819,0.7818181818181819,1.0
10000,1.4579891,-0.75074285,84.11666666666666,9.670474,0.355004,0.00029954265,0.19984753,0.000499253,0.8360655737704918,0.8360655737704918,1.0
15000,1.4714125,62.167084,77.58064516129032,1541.4967,0.27325767,0.0002992435,0.19974783,0.00049876433,0.8064516129032258,0.8064516129032258,1.0
20000,1.5074209,27.386864,77.58064516129032,321.39468,0.29795125,0.0002989582,0.19965273,0.00049829844,0.8064516129032258,0.8064516129032258,1.0
25000,1.5334904,4.3966994,77.92957746478874,8.78397,0.2742797,0.00029866144,0.1995538,0.0004978136,0.8064516129032258,0.8064516129032258,1.0
30000,1.548457,-102.17717,77.58064516129032,5819.507,0.30526465,0.00029835882,0.19945295,0.00049731944,0.8181818181818182,0.8181818181818182,1.0
35000,1.5698265,-6.830924,86.71428571428571,4512.848,0.30715632,0.00029805963,0.1993532,0.0004968306,1.0,1.0,1.0
40000,1.5886854,-3.5379937,81.03333333333333,24.586248,0.28524595,0.00029774263,0.19924754,0.000496313,0.9833333333333333,0.9833333333333333,1.0
45000,1.5962385,1.5671852,79.90163934426229,0.5409053,0.25361693,0.00029744094,0.19914697,0.0004958202,0.8852459016393442,0.8852459016393442,1.0
50000,1.6015134,3.051315,77.58064516129032,14.3303175,0.29096392,0.0002971498,0.19904995,0.00049534463,0.8064516129032258,0.8064516129032258,1.0
55000,1.6193293,-3.9164364,77.58064516129032,27.682787,0.30388564,0.00029686006,0.19895336,0.0004948714,0.8064516129032258,0.8064516129032258,1.0
60000,1.6276807,-1.3110025,79.73913043478261,5.30223,0.2964286,0.00029655793,0.19885264,0.0004943779,0.8666666666666667,0.8666666666666667,1.0
65000,1.644664,3.1238465,78.8688524590164,9.7864485,0.3262333,0.00029625362,0.19875121,0.0004938808,0.9117647058823529,0.9117647058823529,1.0
70000,1.6543745,11.163074,78.64516129032258,87.210236,0.3038859,0.00029595455,0.19865152,0.0004933924,0.875,0.875,1.0
75000,1.691478,-1.5966803,77.63492063492063,13.720243,0.28332734,0.00029564463,0.19854821,0.0004928862,0.8095238095238095,0.8095238095238095,1.0
80000,1.7286116,-0.37176737,78.62295081967213,6.0842147,0.27744457,0.00029534227,0.19844744,0.00049239234,0.8524590163934426,0.8524590163934426,1.0
85000,1.7570292,-0.3869342,97.43396226415095,4.0015297,0.29567146,0.00029504183,0.19834726,0.00049190165,0.39622641509433965,0.39622641509433965,1.0
90000,1.7888387,0.4381008,67.08108108108108,1.1882328,0.28949988,0.00029473926,0.19824642,0.00049140747,0.0,0.0,1.0
95000,1.8132681,-21.343372,67.0923076923077,114.61136,0.30811206,0.00029443752,0.19814585,0.0004909147,0.0,0.0,1.0
100000,1.8304377,-0.5477796,67.0923076923077,1.5041425,0.30686796,0.00029414514,0.19804835,0.0004904371,0.0,0.0,1.0
105000,1.862659,0.3826994,89.42553191489361,2.1258032,0.28978154,0.00029384717,0.19794905,0.0004899504,0.16071428571428573,0.16071428571428573,1.0
110000,1.9045553,-0.7621562,72.32,3.1379893,0.27335817,0.00029354563,0.19784854,0.00048945786,0.0,0.0,1.0
115000,1.9483361,0.42013836,67.08333333333333,3.2124465,0.25248685,0.00029325293,0.19775097,0.00048897974,0.0,0.0,1.0
120000,1.993159,-0.044724226,67.0945945945946,1.5018075,0.26591676,0.00029294947,0.19764982,0.00048848405,0.0,0.0,1.0
125000,2.044229,-0.32778716,67.08219178082192,1.6477565,0.3243658,0.00029264798,0.19754931,0.0004879917,0.0,0.0,1.0
130000,2.0868626,-0.15575594,67.08219178082192,1.1504712,0.26528323,0.0002923486,0.19744954,0.0004875027,0.0,0.0,1.0
135000,2.138501,0.095775224,67.38888888888889,1.8306532,0.36432606,0.00029204725,0.1973491,0.00048701058,0.013888888888888888,0.013888888888888888,1.0
140000,2.1622,0.43443555,69.04285714285714,5.507489,0.27301362,0.00029174762,0.1972492,0.00048652117,0.0,0.0,1.0
145000,2.1683223,0.81810194,67.0958904109589,1.2807673,0.259885,0.0002914508,0.19715028,0.00048603636,0.0,0.0,1.0
150000,2.180257,0.09659268,67.08219178082192,1.5195104,0.26367924,0.00029114957,0.19704986,0.00048554424,0.0,0.0,1.0
155000,2.1961946,-0.0022538407,67.8108108108108,1.6446819,0.26894462,0.00029084572,0.19694857,0.00048504802,0.027777777777777776,0.027777777777777776,1.0
160000,2.225928,-0.4065754,67.59154929577464,1.618604,0.280875,0.00029055373,0.19685124,0.00048457106,0.0,0.0,1.0
165000,2.26,0.6218565,67.08108108108108,3.446804,0.27879208,0.0002902508,0.19675025,0.00048407624,0.0,0.0,1.0
170000,2.3073196,0.27218756,67.08219178082192,0.65409,0.2809256,0.00028995657,0.19665217,0.00048359568,0.0,0.0,1.0
175000,2.3673737,1.0153961,67.08108108108108,6.135641,0.27142507,0.0002896454,0.19654846,0.0004830874,0.0,0.0,1.0
180000,2.4303918,-0.07092629,67.08219178082192,0.06107704,0.2897653,0.00028935072,0.19645025,0.00048260615,0.0,0.0,1.0
185000,2.5131676,0.26013446,67.08219178082192,1.8393261,0.3099532,0.0002890476,0.19634919,0.00048211106,0.0,0.0,1.0
190000,2.5691886,-0.4847419,67.08219178082192,2.8231628,0.27785388,0.0002887477,0.19624923,0.00048162122,0.0,0.0,1.0
