Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5000,1.4215922,23.028985507246375,-0.50883675,-2.808709083367949,-2.808709083367949,74.323235,0.2969936,0.00029907998,0.19969334,0.00049849733,1.0
10000,1.4518687,19.45267489711934,-1.9433545,-3.0819083370390485,-3.0819083370390485,30.189884,0.27135137,0.0002977579,0.19925262,0.0004963379,1.0
15000,1.5364685,19.157258064516128,-3.1407137,-3.0012673394333933,-3.0012673394333933,23.247705,0.2922078,0.00029626043,0.19875346,0.00049389194,1.0
20000,1.6133789,18.836653386454184,-2.6832044,-3.0538612073546068,-3.0538612073546068,23.399996,0.28901514,0.0002947609,0.19825363,0.0004914428,1.0
25000,1.6334307,18.695652173913043,-2.5089283,-3.0918022849428373,-3.0918022849428373,29.483946,0.28472394,0.00029325736,0.19775245,0.00048898696,1.0
30000,1.653508,18.88,-2.786752,-2.9904142151474953,-2.9904142151474953,3.9102924,0.25378364,0.00029176247,0.19725414,0.00048654532,1.0
35000,1.6854247,19.028225806451612,-2.1036081,-2.968803851008415,-2.968803851008415,48.47141,0.27789518,0.0002902599,0.19675328,0.00048409108,1.0
40000,1.7447711,19.7875,-2.1645968,-2.970591669755358,-2.970591669755358,13.024856,0.66953844,0.00028875482,0.19625157,0.0004816328,1.0
45000,1.7476352,19.43673469387755,-2.5351527,-2.962925401538974,-2.962925401538974,27.447533,0.37173605,0.00028724936,0.19574979,0.00047917396,1.0
50000,1.7531985,19.638655462184875,-2.3244166,-2.977995499535715,-2.977995499535715,12.754613,0.2532381,0.0002857556,0.19525187,0.0004767341,1.0
55000,1.765539,19.690376569037657,-2.6092024,-3.038556770300765,-3.038556770300765,16.453781,0.29149476,0.00028426322,0.1947544,0.0004742966,1.0
60000,1.7800201,19.920833333333334,-2.5771525,-2.9137316459466605,-2.9137316459466605,4.639372,0.29498497,0.0002827475,0.19424917,0.00047182097,1.0
65000,1.8089542,19.12,-2.8412168,-2.97356033423543,-2.97356033423543,6.617474,0.32569042,0.00028125072,0.19375025,0.00046937604,1.0
70000,1.8300002,18.959514170040485,-2.1695633,-2.9643703912755095,-2.9643703912755095,5.643656,0.26706025,0.00027974593,0.19324863,0.00046691825,1.0
75000,1.8619745,18.996,-2.2001162,-2.9827033475544305,-2.9827033475544305,9.637607,0.29969323,0.0002782389,0.1927463,0.00046445685,1.0
80000,1.9058886,18.48249027237354,-3.0288439,-3.1334924361726735,-3.1334924361726735,7.5325894,0.28884572,0.00027673694,0.19224566,0.0004620037,1.0
85000,1.9627942,17.68679245283019,-3.103233,-3.3105878500796075,-3.3105878500796075,8.6105995,0.2788308,0.00027524782,0.19174927,0.00045957146,1.0
90000,2.019487,17.782771535580526,-2.673089,-3.3005525528040147,-3.3005525528040147,8.513456,0.28320006,0.00027375214,0.19125071,0.0004571284,1.0
95000,2.0773551,18.294573643410853,-2.9017756,-3.248413184434751,-3.248413184434751,16.027962,0.25892445,0.0002722388,0.19074625,0.00045465666,1.0
100000,2.127344,17.71969696969697,-2.7089524,-3.3111675687497026,-3.3111675687497026,2.685308,0.26211515,0.00027074068,0.1902469,0.00045220973,1.0
105000,2.184795,18.711462450592887,-2.7695901,-3.207772173280791,-3.207772173280791,5.2901573,0.27847922,0.0002692394,0.18974647,0.00044975756,1.0
110000,2.236178,18.63921568627451,-3.0361035,-3.1827718145707076,-3.1827718145707076,3.6379843,0.28369877,0.00026775393,0.1892513,0.00044733135,1.0
115000,2.2736156,18.653386454183266,-3.028462,-3.2087048855353526,-3.2087048855353526,10.267783,0.28698984,0.0002662448,0.18874826,0.0004448665,1.0
120000,2.309968,18.66403162055336,-2.9571302,-3.1826479696759993,-3.1826479696759993,5.5497303,0.27159458,0.00026474686,0.18824893,0.00044241978,1.0
