Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5000,1.4328897,29.78787878787879,5.7240047,7.461692810058594,7.461692810058594,2.9696605,0.2746162,0.00029992306,0.19997434,0.00049987435,1.0
10000,1.4506351,38.03968253968254,6.131549,7.313712779432535,7.313712779432535,0.33679572,0.2982949,0.0002997729,0.19992429,0.0004996291,1.0
15000,1.4528592,30.741935483870968,6.154681,7.367812196413676,7.367812196413676,0.4313907,0.29743516,0.000299622,0.199874,0.0004993826,1.0
20000,1.4608916,18.983870967741936,6.777345,7.5076298100881305,7.5076298100881305,0.48430985,0.29073098,0.0002994734,0.19982448,0.00049913995,1.0
25000,1.4694773,16.533333333333335,6.961842,7.514682046990646,7.514682046990646,0.9277185,0.29189378,0.00029932553,0.19977517,0.0004988983,1.0
30000,1.4751638,13.699115044247788,6.9910717,7.50438293428982,7.50438293428982,0.051213223,0.2891012,0.00029917498,0.19972499,0.0004986524,1.0
35000,1.4789965,13.373913043478261,7.0158195,7.500836647790054,7.500836647790054,0.04548086,0.2865357,0.0002990257,0.19967523,0.0004984087,1.0
40000,1.4897325,15.365131578947368,6.9167585,7.5114227607601975,7.5114227607601975,0.1643973,0.3076348,0.00029887675,0.19962555,0.0004981653,1.0
45000,1.494319,15.02250803858521,6.9938607,7.509932204698905,7.509932204698905,0.22215171,0.31532785,0.0002987251,0.199575,0.0004979177,1.0
50000,1.4992613,17.216117216117215,6.894389,7.511289717934348,7.511289717934348,0.18163179,0.31969288,0.00029857486,0.19952497,0.00049767224,1.0
55000,1.5127039,15.306188925081432,6.9780703,7.512713356204452,7.512713356204452,0.11287344,0.30100152,0.00029842445,0.19947483,0.00049742655,1.0
60000,1.5011702,14.437888198757763,6.992946,7.5105664811267205,7.5105664811267205,0.016753877,0.29700106,0.0002982738,0.19942462,0.00049718056,1.0
65000,1.4830471,14.94920634920635,6.941543,7.511464920772869,7.511464920772869,0.17600575,0.2987147,0.0002981247,0.19937488,0.00049693696,1.0
70000,1.4820248,15.843537414965986,6.925353,7.508438571079357,7.508438571079357,0.15183872,0.30065852,0.00029797602,0.19932532,0.0004966942,1.0
